task	problem	operator	written by	file
apps_3369__move	203369	off-by-one#1	qwen3-coder-30b-apps-s1	pairs/apps_3369__move.fd1dd476fe7cd771.json
apps_3381__get_real_floor	203381	collapse-if#2	qwen3-coder-30b-apps-g1	pairs/apps_3381__get_real_floor.297c005b92fa9240.json
apps_3381__get_real_floor	203381	collapse-if	qwen3-coder-30b-apps-g1	pairs/apps_3381__get_real_floor.9232bf5a4869e627.json
apps_3508__halving_sum	203508	boundary-swap	qwen3-coder-30b-apps-s1	pairs/apps_3508__halving_sum.5a135ea5a7907477.json
apps_3508__halving_sum	203508	off-by-one	qwen3-coder-30b-apps-s1	pairs/apps_3508__halving_sum.b23b759d376ac8ef.json
apps_3582__is_digit	203582	collapse-if#1	qwen3-coder-30b-apps-s1	pairs/apps_3582__is_digit.7da93cc65e27c4cf.json
apps_3582__is_digit	203582	collapse-if	qwen3-coder-30b-apps-s1	pairs/apps_3582__is_digit.efd3a1e65ed1ecb9.json
apps_3588__quadratic	203588	off-by-one#1	qwen3-coder-30b-apps-s1	pairs/apps_3588__quadratic.5c9ffd4f4328162c.json
apps_3588__quadratic	203588	off-by-one	qwen3-coder-30b-apps-s1	pairs/apps_3588__quadratic.c8c4f59bcc4ac7b7.json
apps_3779__past	203779	off-by-one	qwen3-coder-30b-apps-s1	pairs/apps_3779__past.2651c3ae37cf1f5a.json
apps_3779__past	203779	off-by-one#1	qwen3-coder-30b-apps-s1	pairs/apps_3779__past.424faf948ed07cf2.json
apps_3779__past	203779	off-by-one#1	qwen3-coder-30b-apps-g1	pairs/apps_3779__past.91a93f3779d6de4a.json
apps_3779__past	203779	off-by-one	qwen3-coder-30b-apps-g1	pairs/apps_3779__past.a6a053cd0f77d020.json
apps_3795__combat	203795	collapse-if	qwen3-coder-30b-apps-s1	pairs/apps_3795__combat.c89eb919a5230043.json
apps_3795__combat	203795	negate-cond	qwen3-coder-30b-apps-s1	pairs/apps_3795__combat.e1eb5eba63a3e38c.json
apps_3831__angle	203831	off-by-one#1	qwen3-coder-30b-apps-s1	pairs/apps_3831__angle.d335b14ca2c1a231.json
apps_3831__angle	203831	off-by-one	qwen3-coder-30b-apps-s1	pairs/apps_3831__angle.f0a6a1bf98765a77.json
apps_3876__find	203876	collapse-if	qwen3-coder-30b-apps-s1	pairs/apps_3876__find.542bdbb95da32a77.json
apps_3876__find	203876	negate-cond	qwen3-coder-30b-apps-s1	pairs/apps_3876__find.9959c0d384ebb5f6.json
apps_4017__add	204017	wrong-var#1	qwen3-coder-30b-apps-s1	pairs/apps_4017__add.ccfb9a4971614cc2.json
apps_4017__add	204017	wrong-var	qwen3-coder-30b-apps-s1	pairs/apps_4017__add.ced49b0ee1c25930.json
apps_4280__area_largest_square	204280	off-by-one	qwen3-coder-30b-apps-s1	pairs/apps_4280__area_largest_square.0473ff904ea661d5.json
apps_4280__area_largest_square	204280	off-by-one#1	qwen3-coder-30b-apps-s1	pairs/apps_4280__area_largest_square.43bebc8f225a3ca2.json
apps_4360__get_score	204360	off-by-one	qwen3-coder-30b-apps-s1	pairs/apps_4360__get_score.62340bea3591b10b.json
apps_4360__get_score	204360	off-by-one#1	qwen3-coder-30b-apps-s1	pairs/apps_4360__get_score.b3931a3c9ba5ba2e.json
apps_4367__area_or_perimeter	204367	negate-cond	qwen3-coder-30b-apps-s1	pairs/apps_4367__area_or_perimeter.33932c7bc8f33998.json
apps_4367__area_or_perimeter	204367	collapse-if	qwen3-coder-30b-apps-s1	pairs/apps_4367__area_or_perimeter.9dd82382ada13d81.json
apps_4380__remove_chars	204380	negate-cond	qwen3-coder-30b-apps-s1	pairs/apps_4380__remove_chars.92f71056f8f4fd82.json
apps_4380__remove_chars	204380	collapse-if	qwen3-coder-30b-apps-s1	pairs/apps_4380__remove_chars.b94943afe88a712f.json
apps_4459__nth_even	204459	off-by-one	qwen3-coder-30b-apps-s1	pairs/apps_4459__nth_even.5835d65f1c017910.json
apps_4459__nth_even	204459	off-by-one#1	qwen3-coder-30b-apps-s1	pairs/apps_4459__nth_even.c2d6f9bab3283752.json
apps_4481__not_visible_cubes	204481	negate-cond	qwen3-coder-30b-apps-s1	pairs/apps_4481__not_visible_cubes.01b8159f9f66ed5b.json
apps_4481__not_visible_cubes	204481	collapse-if	qwen3-coder-30b-apps-s1	pairs/apps_4481__not_visible_cubes.6db5ed1d0bcd1896.json
apps_4573__over_the_road	204573	off-by-one#1	qwen3-coder-30b-apps-s1	pairs/apps_4573__over_the_road.9d70a7e0f56dc89e.json
apps_4573__over_the_road	204573	off-by-one	qwen3-coder-30b-apps-s1	pairs/apps_4573__over_the_road.b1e2a898914ece83.json
he_41__car_race_collision	100041	wrong-constant	qwen2.5-coder-14b-he-s1	pairs/he_41__car_race_collision.1412696ec767bbcb.json
he_41__car_race_collision	100041	wrong-constant#1	qwen2.5-coder-14b-he-s1	pairs/he_41__car_race_collision.e12712e8aae66cde.json
he_42__incr_list	100042	boundary-swap	qwen2.5-coder-14b-he-s1	pairs/he_42__incr_list.20487c780ce69020.json
he_42__incr_list	100042	compare-flip	qwen2.5-coder-14b-he-s1	pairs/he_42__incr_list.9dbba338e2b61770.json
mbpp_112__perimeter	112	off-by-one#1	qwen2.5-coder-14b-v3-s7	pairs/mbpp_112__perimeter.004fda95f050703d.json
mbpp_112__perimeter	112	off-by-one	qwen3.8-27b-fp8	pairs/mbpp_112__perimeter.0b4f39ec3cbe8017.json
mbpp_112__perimeter	112	off-by-one#1	qwen2.5-coder-14b-v3-s3	pairs/mbpp_112__perimeter.0cdb2ec0dab84042.json
mbpp_112__perimeter	112	off-by-one#1	qwen3.8-27b-fp8	pairs/mbpp_112__perimeter.203d594bc8d28365.json
mbpp_112__perimeter	112	off-by-one#1	qwen3.8-27b-fp8-v3	pairs/mbpp_112__perimeter.3f76c9171dab7c29.json
mbpp_112__perimeter	112	off-by-one	qwen3.8-27b-fp8-v3	pairs/mbpp_112__perimeter.46b2d29952cb1486.json
mbpp_112__perimeter	112	off-by-one#1	qwen3.8-27b-fp8-v3-s2	pairs/mbpp_112__perimeter.560f0630e554b513.json
mbpp_112__perimeter	112	off-by-one#1	qwen2.5-coder-14b-v3-s1	pairs/mbpp_112__perimeter.5dd0d4682bfcf291.json
mbpp_112__perimeter	112	off-by-one	qwen2.5-coder-14b-v3-s7	pairs/mbpp_112__perimeter.77f39b54689354a3.json
mbpp_112__perimeter	112	off-by-one	qwen2.5-coder-14b-v3-s3	pairs/mbpp_112__perimeter.a7a416f460ffa6e9.json
mbpp_112__perimeter	112	off-by-one	qwen3.8-27b-fp8-v3-s2	pairs/mbpp_112__perimeter.acb4adf3d6ab1fed.json
mbpp_112__perimeter	112	off-by-one	qwen2.5-coder-14b-v3-s1	pairs/mbpp_112__perimeter.ae7ac5ff20517cfd.json
mbpp_112__perimeter	112	off-by-one#1	deepseek-coder-v2-16b-v4-s1	pairs/mbpp_112__perimeter.d0597c4340be28e9.json
mbpp_112__perimeter	112	off-by-one	deepseek-coder-v2-16b-v4-s1	pairs/mbpp_112__perimeter.d5b4c87da730b7bb.json
mbpp_127__multiply_int	127	compare-flip	qwen2.5-coder-14b-v3-s6	pairs/mbpp_127__multiply_int.59871f0d2d44f785.json
mbpp_127__multiply_int	127	boundary-swap	qwen2.5-coder-14b-v3-s6	pairs/mbpp_127__multiply_int.b630a2742a1ead11.json
mbpp_127__multiply_int	127	compare-flip	qwen2.5-coder-14b-v3-s5	pairs/mbpp_127__multiply_int.c916748e87058708.json
mbpp_127__multiply_int	127	boundary-swap	qwen2.5-coder-14b-v3-s5	pairs/mbpp_127__multiply_int.e4fdd1e4e3f2f88b.json
mbpp_135__hexagonal_num	135	off-by-one#1	deepseek-coder-v2-16b-v4-s1	pairs/mbpp_135__hexagonal_num.2c3d913d5e47690e.json
mbpp_135__hexagonal_num	135	off-by-one	qwen3.8-27b-fp8	pairs/mbpp_135__hexagonal_num.35b53f496990d458.json
mbpp_135__hexagonal_num	135	off-by-one#1	qwen3.8-27b-fp8-v3-s2	pairs/mbpp_135__hexagonal_num.6523a4e8482041ff.json
mbpp_135__hexagonal_num	135	off-by-one	deepseek-coder-v2-16b-v4-s1	pairs/mbpp_135__hexagonal_num.6588348f9d668b50.json
mbpp_135__hexagonal_num	135	off-by-one	qwen3.8-27b-fp8-v3-s2	pairs/mbpp_135__hexagonal_num.6db07db2f494b230.json
mbpp_135__hexagonal_num	135	off-by-one#1	qwen2.5-coder-14b-v3-s1	pairs/mbpp_135__hexagonal_num.d6abbc8d4e7d56b8.json
mbpp_135__hexagonal_num	135	off-by-one#1	qwen3.8-27b-fp8	pairs/mbpp_135__hexagonal_num.d739e157b4b9e477.json
mbpp_135__hexagonal_num	135	off-by-one	qwen2.5-coder-14b-v3-s1	pairs/mbpp_135__hexagonal_num.e27915b0f551c7aa.json
mbpp_171__perimeter_pentagon	171	off-by-one#1	qwen3.8-27b-fp8	pairs/mbpp_171__perimeter_pentagon.2e9da3ecf34bcaf1.json
mbpp_171__perimeter_pentagon	171	off-by-one#1	deepseek-coder-v2-16b-v4-s1	pairs/mbpp_171__perimeter_pentagon.2f55ae1e79d6e403.json
mbpp_171__perimeter_pentagon	171	off-by-one#1	qwen2.5-coder-14b-v3-s7	pairs/mbpp_171__perimeter_pentagon.3318a1123f3b0bcd.json
mbpp_171__perimeter_pentagon	171	off-by-one	qwen2.5-coder-14b-v3-s2	pairs/mbpp_171__perimeter_pentagon.40c90d8ec583ccab.json
mbpp_171__perimeter_pentagon	171	off-by-one	qwen2.5-coder-14b-v3-s7	pairs/mbpp_171__perimeter_pentagon.44e6cac658a410a5.json
mbpp_171__perimeter_pentagon	171	off-by-one#1	qwen2.5-coder-14b-v3-s2	pairs/mbpp_171__perimeter_pentagon.7ac46b32f34d43d1.json
mbpp_171__perimeter_pentagon	171	off-by-one	qwen3.8-27b-fp8	pairs/mbpp_171__perimeter_pentagon.7ef52b61594ac6a1.json
mbpp_171__perimeter_pentagon	171	off-by-one	qwen3.8-27b-fp8-v3-s2	pairs/mbpp_171__perimeter_pentagon.a5c517bfc5ad893e.json
mbpp_171__perimeter_pentagon	171	off-by-one#1	qwen3.8-27b-fp8-v3-s2	pairs/mbpp_171__perimeter_pentagon.cedfd8beaa97344b.json
mbpp_171__perimeter_pentagon	171	off-by-one	deepseek-coder-v2-16b-v4-s1	pairs/mbpp_171__perimeter_pentagon.e805d0a474204d42.json
mbpp_171__perimeter_pentagon	171	off-by-one	qwen2.5-coder-14b-v3-s1	pairs/mbpp_171__perimeter_pentagon.ebc598640d34a753.json
mbpp_171__perimeter_pentagon	171	off-by-one#1	qwen2.5-coder-14b-v3-s1	pairs/mbpp_171__perimeter_pentagon.f381526235b835bc.json
mbpp_173__remove_splchar	173	negate-cond	deepseek-coder-v2-16b-v4-s1	pairs/mbpp_173__remove_splchar.1af57c04e13eec63.json
mbpp_173__remove_splchar	173	collapse-if	deepseek-coder-v2-16b-v4-s1	pairs/mbpp_173__remove_splchar.389c364aeed5fe0f.json
mbpp_173__remove_splchar	173	negate-cond	qwen2.5-coder-14b-v3-s5	pairs/mbpp_173__remove_splchar.925da56322ca25ab.json
mbpp_173__remove_splchar	173	collapse-if	qwen2.5-coder-14b-v3-s5	pairs/mbpp_173__remove_splchar.a2e0e2a7e708d3d6.json
mbpp_176__perimeter_triangle	176	wrong-var#1	qwen3.8-27b-fp8	pairs/mbpp_176__perimeter_triangle.42f8de6a2a7da913.json
mbpp_176__perimeter_triangle	176	wrong-var#1	qwen2.5-coder-14b-v3-s4	pairs/mbpp_176__perimeter_triangle.513d9233a0e6d8b5.json
mbpp_176__perimeter_triangle	176	wrong-var	qwen3.8-27b-fp8	pairs/mbpp_176__perimeter_triangle.84d0da43b202e927.json
mbpp_176__perimeter_triangle	176	wrong-var	qwen2.5-coder-14b-v3-s4	pairs/mbpp_176__perimeter_triangle.964e2bb9ed54ef40.json
mbpp_17__square_perimeter	17	off-by-one#1	qwen3.8-27b-fp8-v3-s2	pairs/mbpp_17__square_perimeter.0fd16e595328383d.json
mbpp_17__square_perimeter	17	off-by-one	deepseek-coder-v2-16b-v4-s1	pairs/mbpp_17__square_perimeter.1a033cdaf5c78495.json
mbpp_17__square_perimeter	17	off-by-one	qwen3.8-27b-fp8	pairs/mbpp_17__square_perimeter.43f14da70f1a4e31.json
mbpp_17__square_perimeter	17	off-by-one#1	qwen3.8-27b-fp8	pairs/mbpp_17__square_perimeter.81e6be9a3a77e027.json
mbpp_17__square_perimeter	17	off-by-one	qwen3.8-27b-fp8-v3-s2	pairs/mbpp_17__square_perimeter.8420900c9c14cbb7.json
mbpp_17__square_perimeter	17	off-by-one#1	deepseek-coder-v2-16b-v4-s1	pairs/mbpp_17__square_perimeter.a6249562e595751e.json
mbpp_190__count_Intgral_Points	190	negate-cond	qwen3.8-27b-fp8-v3	pairs/mbpp_190__count_Intgral_Points.0e032f3720db6ea4.json
mbpp_190__count_Intgral_Points	190	collapse-if	qwen3.8-27b-fp8-v3	pairs/mbpp_190__count_Intgral_Points.a70b9d65e0269f86.json
mbpp_195__first	195	collapse-if	qwen2.5-coder-14b-v3-s4	pairs/mbpp_195__first.0f1489cd28f1d154.json
mbpp_195__first	195	negate-cond	qwen3.8-27b-fp8	pairs/mbpp_195__first.239b086c01d970c5.json
mbpp_195__first	195	negate-cond	qwen2.5-coder-14b-v3-s4	pairs/mbpp_195__first.64233fbf7c63d1ce.json
mbpp_195__first	195	negate-cond	qwen3.8-27b-fp8-v3	pairs/mbpp_195__first.757ca5e1a77e7a81.json
mbpp_195__first	195	negate-cond	qwen2.5-coder-14b-v3-s1	pairs/mbpp_195__first.838f9ef6336b0a98.json
mbpp_195__first	195	collapse-if	qwen3.8-27b-fp8	pairs/mbpp_195__first.8e0f814d01d39e48.json
mbpp_195__first	195	collapse-if	qwen3.8-27b-fp8-v3	pairs/mbpp_195__first.b192081f5f40c2f8.json
mbpp_195__first	195	collapse-if	qwen2.5-coder-14b-v3-s1	pairs/mbpp_195__first.f164d21edc6a6488.json
mbpp_210__is_allowed_specific_char	210	negate-cond	qwen2.5-coder-14b-v3-s1	pairs/mbpp_210__is_allowed_specific_char.3768bf3383d53456.json
mbpp_210__is_allowed_specific_char	210	collapse-if	qwen2.5-coder-14b-v3-s1	pairs/mbpp_210__is_allowed_specific_char.3cdf6d900d349149.json
mbpp_210__is_allowed_specific_char	210	negate-cond	qwen2.5-coder-14b-v3-s7	pairs/mbpp_210__is_allowed_specific_char.8068c5f5fecbd789.json
mbpp_210__is_allowed_specific_char	210	collapse-if	qwen2.5-coder-14b-v3-s7	pairs/mbpp_210__is_allowed_specific_char.855af7427314898e.json
mbpp_227__min_of_three	227	collapse-if#1	qwen2.5-coder-14b-v3-s6	pairs/mbpp_227__min_of_three.076783e366897827.json
mbpp_227__min_of_three	227	collapse-if	qwen2.5-coder-14b-v3-s6	pairs/mbpp_227__min_of_three.1073bab8df6b83eb.json
mbpp_227__min_of_three	227	collapse-if#1	qwen2.5-coder-14b-v3-s4	pairs/mbpp_227__min_of_three.47f18d7cac6a21aa.json
mbpp_227__min_of_three	227	collapse-if	qwen2.5-coder-14b-v3-s2	pairs/mbpp_227__min_of_three.738e72185d1b1c8c.json
mbpp_227__min_of_three	227	collapse-if	qwen2.5-coder-14b-v3-s3	pairs/mbpp_227__min_of_three.81fec82a6e04e7cf.json
mbpp_227__min_of_three	227	collapse-if	qwen2.5-coder-14b-v3-s5	pairs/mbpp_227__min_of_three.852d198b6d4dd4be.json
mbpp_227__min_of_three	227	collapse-if	qwen3.8-27b-fp8	pairs/mbpp_227__min_of_three.896f75722d30f563.json
mbpp_227__min_of_three	227	collapse-if#1	qwen2.5-coder-14b-v3-s1	pairs/mbpp_227__min_of_three.906a3d306dffa497.json
mbpp_227__min_of_three	227	collapse-if	qwen2.5-coder-14b-v3-s1	pairs/mbpp_227__min_of_three.a426171554a71e2c.json
mbpp_227__min_of_three	227	collapse-if	deepseek-coder-v2-16b-v4-s1	pairs/mbpp_227__min_of_three.a7c1f395986692cf.json
mbpp_227__min_of_three	227	collapse-if#1	qwen2.5-coder-14b-v3-s5	pairs/mbpp_227__min_of_three.ab156d33a4ab836f.json
mbpp_227__min_of_three	227	collapse-if#1	qwen2.5-coder-14b-v3-s3	pairs/mbpp_227__min_of_three.d10f28026253f231.json
mbpp_227__min_of_three	227	collapse-if#1	qwen3.8-27b-fp8	pairs/mbpp_227__min_of_three.dd38bec65f29d224.json
mbpp_227__min_of_three	227	collapse-if	qwen2.5-coder-14b-v3-s4	pairs/mbpp_227__min_of_three.e6c2a333f1e4a148.json
mbpp_227__min_of_three	227	collapse-if#1	qwen2.5-coder-14b-v3-s2	pairs/mbpp_227__min_of_three.ee46abfe4bd8ecdf.json
mbpp_227__min_of_three	227	collapse-if#1	deepseek-coder-v2-16b-v4-s1	pairs/mbpp_227__min_of_three.f47940116ec8a1e5.json
mbpp_230__replace_blank	230	negate-cond	qwen3.8-27b-fp8-v3-s2	pairs/mbpp_230__replace_blank.25e04ee593fac719.json
mbpp_230__replace_blank	230	collapse-if	qwen3.8-27b-fp8-v3-s2	pairs/mbpp_230__replace_blank.3c648e79460ab31d.json
mbpp_230__replace_blank	230	collapse-if	qwen3.8-27b-fp8-v3	pairs/mbpp_230__replace_blank.40dd24df8944e6a8.json
mbpp_230__replace_blank	230	negate-cond	qwen3.8-27b-fp8-v3	pairs/mbpp_230__replace_blank.c6c41fa0f3534bfc.json
mbpp_234__volume_cube	234	wrong-constant	qwen2.5-coder-14b-v3-s1	pairs/mbpp_234__volume_cube.0efdc9344e06e3e3.json
mbpp_234__volume_cube	234	wrong-constant	qwen3.8-27b-fp8	pairs/mbpp_234__volume_cube.1dc985d0bab39101.json
mbpp_234__volume_cube	234	wrong-constant#1	qwen2.5-coder-14b-v3-s1	pairs/mbpp_234__volume_cube.55302e907d29a3c2.json
mbpp_234__volume_cube	234	wrong-constant	qwen3.8-27b-fp8-v3-s2	pairs/mbpp_234__volume_cube.6dbf51c8208ef583.json
mbpp_234__volume_cube	234	wrong-constant#1	deepseek-coder-v2-16b-v4-s1	pairs/mbpp_234__volume_cube.80f17be51f7ce726.json
mbpp_234__volume_cube	234	wrong-constant#1	qwen3.8-27b-fp8-v3-s2	pairs/mbpp_234__volume_cube.a771e48caefd6de0.json
mbpp_234__volume_cube	234	wrong-constant#1	qwen3.8-27b-fp8	pairs/mbpp_234__volume_cube.adc131be4aa1e0b9.json
mbpp_234__volume_cube	234	wrong-constant	deepseek-coder-v2-16b-v4-s1	pairs/mbpp_234__volume_cube.d3943f85e06ccad7.json
mbpp_234__volume_cube	234	wrong-constant	qwen2.5-coder-14b-v3-s7	pairs/mbpp_234__volume_cube.d5eb7ef84bbbf6d3.json
mbpp_234__volume_cube	234	wrong-constant#1	qwen2.5-coder-14b-v3-s7	pairs/mbpp_234__volume_cube.f5e72e7dbe33d4f6.json
mbpp_238__number_of_substrings	238	boundary-swap	qwen2.5-coder-14b-v3-s7	pairs/mbpp_238__number_of_substrings.0b84be7a85759255.json
mbpp_238__number_of_substrings	238	boundary-swap	deepseek-coder-v2-16b-v4-s1	pairs/mbpp_238__number_of_substrings.1ae8850da6265b11.json
mbpp_238__number_of_substrings	238	boundary-swap	qwen2.5-coder-14b-v3-s6-fix1	pairs/mbpp_238__number_of_substrings.4f0b9921ff585d7c.json
mbpp_238__number_of_substrings	238	compare-flip	qwen2.5-coder-14b-v3-s7	pairs/mbpp_238__number_of_substrings.6c8b659e7b50af54.json
mbpp_238__number_of_substrings	238	off-by-one	qwen2.5-coder-14b-v3-s1	pairs/mbpp_238__number_of_substrings.75c41351f88c6809.json
mbpp_238__number_of_substrings	238	compare-flip	qwen2.5-coder-14b-v3-s6-fix1	pairs/mbpp_238__number_of_substrings.9ed9f3d533250e7b.json
mbpp_238__number_of_substrings	238	off-by-one#1	qwen2.5-coder-14b-v3-s1	pairs/mbpp_238__number_of_substrings.d2ad12bdd503655d.json
mbpp_238__number_of_substrings	238	compare-flip	deepseek-coder-v2-16b-v4-s1	pairs/mbpp_238__number_of_substrings.f7e111aec66f453c.json
mbpp_264__dog_age	264	off-by-one	qwen3.8-27b-fp8	pairs/mbpp_264__dog_age.898bb92732ac122f.json
mbpp_264__dog_age	264	off-by-one#1	qwen3.8-27b-fp8	pairs/mbpp_264__dog_age.90ae6a0d5beb7bf2.json
mbpp_266__lateralsurface_cube	266	off-by-one#1	qwen3.8-27b-fp8	pairs/mbpp_266__lateralsurface_cube.2ae570063204f871.json
mbpp_266__lateralsurface_cube	266	off-by-one	qwen2.5-coder-14b-v3-s2	pairs/mbpp_266__lateralsurface_cube.44ce9a43f2d2055a.json
mbpp_266__lateralsurface_cube	266	off-by-one#1	qwen3.8-27b-fp8-v3	pairs/mbpp_266__lateralsurface_cube.56b9f09b6f961003.json
mbpp_266__lateralsurface_cube	266	off-by-one#1	deepseek-coder-v2-16b-v4-s1	pairs/mbpp_266__lateralsurface_cube.6ca3f9e418ee6732.json
mbpp_266__lateralsurface_cube	266	off-by-one	qwen3.8-27b-fp8-v3	pairs/mbpp_266__lateralsurface_cube.6f129530ba0c4ec7.json
mbpp_266__lateralsurface_cube	266	off-by-one#1	qwen2.5-coder-14b-v3-s2	pairs/mbpp_266__lateralsurface_cube.8770d4a1db9289d8.json
mbpp_266__lateralsurface_cube	266	off-by-one	qwen3.8-27b-fp8	pairs/mbpp_266__lateralsurface_cube.a4a5182f7ad972fb.json
mbpp_266__lateralsurface_cube	266	off-by-one	qwen2.5-coder-14b-v3-s5	pairs/mbpp_266__lateralsurface_cube.b6f661eb77de62e4.json
mbpp_266__lateralsurface_cube	266	off-by-one	deepseek-coder-v2-16b-v4-s1	pairs/mbpp_266__lateralsurface_cube.c1c7dd2d3671dae2.json
mbpp_266__lateralsurface_cube	266	off-by-one#1	qwen2.5-coder-14b-v3-s5	pairs/mbpp_266__lateralsurface_cube.e12ef2e47672c718.json
mbpp_266__lateralsurface_cube	266	off-by-one#1	qwen2.5-coder-14b-v3-s1	pairs/mbpp_266__lateralsurface_cube.f11bfacff37743f9.json
mbpp_266__lateralsurface_cube	266	off-by-one	qwen2.5-coder-14b-v3-s1	pairs/mbpp_266__lateralsurface_cube.f1e904837b8c782e.json
mbpp_268__find_star_num	268	off-by-one#1	deepseek-coder-v2-16b-v4-s1	pairs/mbpp_268__find_star_num.238c5175cff160ce.json
mbpp_268__find_star_num	268	off-by-one#1	qwen3.8-27b-fp8	pairs/mbpp_268__find_star_num.39aea9abf90238ee.json
mbpp_268__find_star_num	268	off-by-one	qwen3.8-27b-fp8-v3-s2	pairs/mbpp_268__find_star_num.49bceafbec224a91.json
mbpp_268__find_star_num	268	off-by-one	qwen3.8-27b-fp8	pairs/mbpp_268__find_star_num.9a8eeac8f99e9451.json
mbpp_268__find_star_num	268	off-by-one	qwen2.5-coder-14b-v3-s3	pairs/mbpp_268__find_star_num.ade8d9e1bb19afc7.json
mbpp_268__find_star_num	268	off-by-one#1	qwen3.8-27b-fp8-v3-s2	pairs/mbpp_268__find_star_num.b6ebc673144beabb.json
mbpp_268__find_star_num	268	off-by-one	deepseek-coder-v2-16b-v4-s1	pairs/mbpp_268__find_star_num.d5a9d850d6de6357.json
mbpp_268__find_star_num	268	off-by-one#1	qwen2.5-coder-14b-v3-s3	pairs/mbpp_268__find_star_num.e4680a7066ea3b0d.json
mbpp_279__is_num_decagonal	279	off-by-one#1	qwen3.8-27b-fp8	pairs/mbpp_279__is_num_decagonal.23a9b58b9ec7d8eb.json
mbpp_279__is_num_decagonal	279	off-by-one#1	qwen3.8-27b-fp8-v3	pairs/mbpp_279__is_num_decagonal.4ca63cc4bd290d9c.json
mbpp_279__is_num_decagonal	279	off-by-one	deepseek-coder-v2-16b-v4-s1	pairs/mbpp_279__is_num_decagonal.7f404e9af08e42dc.json
mbpp_279__is_num_decagonal	279	off-by-one#1	qwen2.5-coder-14b-v3-s1	pairs/mbpp_279__is_num_decagonal.87a0f270091ddc99.json
mbpp_279__is_num_decagonal	279	off-by-one	qwen2.5-coder-14b-v3-s1	pairs/mbpp_279__is_num_decagonal.98545a7a9b1d145b.json
mbpp_279__is_num_decagonal	279	off-by-one	qwen3.8-27b-fp8	pairs/mbpp_279__is_num_decagonal.c37f4c0fd5b19ac5.json
mbpp_279__is_num_decagonal	279	off-by-one#1	deepseek-coder-v2-16b-v4-s1	pairs/mbpp_279__is_num_decagonal.e3fa40d5c0e83183.json
mbpp_279__is_num_decagonal	279	off-by-one	qwen3.8-27b-fp8-v3	pairs/mbpp_279__is_num_decagonal.ff5435f2f8f1cd70.json
